id,timestamp,voteUrl,bill,billDescription,billUrl,amendment,amendmentUrl,question,vote,result
[H]-1281,2026-05-06T14:23:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27586,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,4A,https://scstatehouse.gov/amendments.php?KEY=34616,Adopt Amendment 4A Amendment #4A,Yea,Passed
[H]-1282,2026-05-06T14:52:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27587,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,7ASUB,https://scstatehouse.gov/amendments.php?KEY=34624,Adopt Amendment 7A Amendment #7ASUB,Yea,Passed
[H]-1283,2026-05-06T14:59:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27588,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,9A,https://scstatehouse.gov/amendments.php?KEY=34626,Adopt Amendment 9A Amendment #9A,Nay,Failed
[H]-1284,2026-05-06T15:01:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27589,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,10ASUB,https://scstatehouse.gov/amendments.php?KEY=34627,Adopt Amendment 10A Amendment #10ASUB,Yea,Passed
[H]-1285,2026-05-06T15:05:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27590,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,11A,https://scstatehouse.gov/amendments.php?KEY=34629,Adopt Amendment 11A Amendment #11A,Yea,Passed
[H]-1286,2026-05-06T15:08:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27591,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,12A,https://scstatehouse.gov/amendments.php?KEY=34630,Adopt Amendment 12A Amendment #12A,Yea,Passed
[H]-1287,2026-05-06T15:18:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27593,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,15A,https://scstatehouse.gov/amendments.php?KEY=34634,Adopt Amendment 15A Amendment #15A,N/V,Passed
[H]-1288,2026-05-06T15:24:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27594,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,17A,https://scstatehouse.gov/amendments.php?KEY=34636,Adopt Amendment 17A Amendment #17A,Yea,Failed
[H]-1289,2026-05-06T15:48:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27595,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,18ASUB,https://scstatehouse.gov/amendments.php?KEY=34637,Table Amendment 18A Amendment #18ASUB,Nay,Passed
[H]-1290,2026-05-06T15:55:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27599,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,19A,https://scstatehouse.gov/amendments.php?KEY=34639,Table Amendment 19A Amendment #19A,Nay,Passed
[H]-1291,2026-05-06T15:58:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27601,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,20A,https://scstatehouse.gov/amendments.php?KEY=34642,Adopt Amendment 20A Amendment #20A,Yea,Passed
[H]-1292,2026-05-06T16:13:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27603,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,23A,https://scstatehouse.gov/amendments.php?KEY=34647,Adopt Amendment 23A Amendment #23A,N/V,Passed
[H]-1293,2026-05-06T16:18:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27604,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,25A,https://scstatehouse.gov/amendments.php?KEY=34650,Table Amendment 25A Amendment #25A,Yea,Passed
[H]-1294,2026-05-06T16:22:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27605,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,26A,https://scstatehouse.gov/amendments.php?KEY=34654,Adopt Amendment 26A Amendment #26A,Yea,Passed
[H]-1295,2026-05-06T16:30:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27608,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,27A,https://scstatehouse.gov/amendments.php?KEY=34655,Adopt Amendment 27A Amendment #27A,Nay,Passed
[H]-1296,2026-05-06T16:33:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27609,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,28A,https://scstatehouse.gov/amendments.php?KEY=34657,Table Amendment 28A Amendment #28A,N/V,Passed
[H]-1297,2026-05-06T16:37:00.000-04:00,https://www.scstatehouse.gov/votehistory.php?KEY=27611,H.5126,Budget,https://www.scstatehouse.gov/billsearch.php?billnumbers=5126&session=126&headerfooter=0,29A,https://scstatehouse.gov/amendments.php?KEY=34658,Adopt Amendment 29A Amendment #29A,N/V,Passed
