id,timestamp,voteUrl,bill,billDescription,billUrl,amendment,amendmentUrl,question,vote,result
[H]-685,2026-01-14T15:06:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26338,S.136,Dismissal of pending gun possession charges,https://www.scstatehouse.gov/billsearch.php?billnumbers=136&session=126&headerfooter=0,,,Override Veto by the Governor,Yea,Passed
[H]-686,2026-01-14T15:12:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26340,H.3431,South Carolina Social Media Regulation Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=3431&session=126&headerfooter=0,1A,https://scstatehouse.gov/amendments.php?KEY=33808,Adopt Amendment 1A Amendment #1A,Yea,Passed
[H]-688,2026-01-15T10:24:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26342, ,"James Britt Blackwell, At-Large DOT",https://www.scstatehouse.gov/billsearch.php?billnumbers=undefined&session=126&headerfooter=0,,,,Yea,Passed
[H]-689,2026-01-15T11:38:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26347,H.4902,"Intercollegiate Athletes' Compensation for Name, Image, or Likeness",https://www.scstatehouse.gov/billsearch.php?billnumbers=4902&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-692,2026-01-21T15:01:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26364,S.287,Electronic Nicotine Delivery System Regulation,https://www.scstatehouse.gov/billsearch.php?billnumbers=287&session=126&headerfooter=0,2,https://scstatehouse.gov/amendments.php?KEY=33814,Table Amendment 2 Amendment #2,Nay,Failed
[H]-693,2026-01-21T15:27:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26365,S.287,Electronic Nicotine Delivery System Regulation,https://www.scstatehouse.gov/billsearch.php?billnumbers=287&session=126&headerfooter=0,2,https://scstatehouse.gov/amendments.php?KEY=33814,Adopt Amendment 2 Amendment #2,Yea,Failed
[H]-694,2026-01-21T15:36:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26366,S.287,Electronic Nicotine Delivery System Regulation,https://www.scstatehouse.gov/billsearch.php?billnumbers=287&session=126&headerfooter=0,19,https://scstatehouse.gov/amendments.php?KEY=33822,Table Amendment 19 Amendment #19,N/V,Passed
[H]-695,2026-01-21T15:54:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26367,S.287,Electronic Nicotine Delivery System Regulation,https://www.scstatehouse.gov/billsearch.php?billnumbers=287&session=126&headerfooter=0,20,https://scstatehouse.gov/amendments.php?KEY=33823,Table Amendment 20 Amendment #20,Yea,Passed
[H]-696,2026-01-21T16:27:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26368,S.287,Electronic Nicotine Delivery System Regulation,https://www.scstatehouse.gov/billsearch.php?billnumbers=287&session=126&headerfooter=0,26,https://scstatehouse.gov/amendments.php?KEY=33828,Table Amendment 26 Amendment #26,Nay,Passed
[H]-697,2026-01-21T16:39:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26369,S.287,Electronic Nicotine Delivery System Regulation,https://www.scstatehouse.gov/billsearch.php?billnumbers=287&session=126&headerfooter=0,,,Passage of Bill,N/V,Passed
[H]-699,2026-01-22T11:22:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26372,H.5012,"House Rules, immediate consideration and questions during debate",https://www.scstatehouse.gov/billsearch.php?billnumbers=5012&session=126&headerfooter=0,,,Table Motion to Recommit,Nay,Passed
[H]-700,2026-01-22T11:39:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26373,H.5012,"House Rules, immediate consideration and questions during debate",https://www.scstatehouse.gov/billsearch.php?billnumbers=5012&session=126&headerfooter=0,,,Adopt House Resolution,Yea,Passed
[H]-702,2026-01-28T15:42:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26378,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,27,https://scstatehouse.gov/amendments.php?KEY=33839,Table Amendment 27 Amendment #27,Nay,Passed
[H]-703,2026-01-28T15:46:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26379,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,28,https://scstatehouse.gov/amendments.php?KEY=33840,Table Amendment 28 Amendment #28,Nay,Passed
[H]-704,2026-01-28T15:51:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26380,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,2,https://scstatehouse.gov/amendments.php?KEY=33836,Table Amendment 2 Amendment #2,Nay,Passed
[H]-705,2026-01-28T16:13:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26381,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,3,https://scstatehouse.gov/amendments.php?KEY=33837,Table Amendment 3 Amendment #3,Nay,Passed
[H]-706,2026-01-28T16:49:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26382,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,,,Cloture,Nay,Passed
[H]-707,2026-01-28T16:53:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26383,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,,,Adjourn For The Day,Yea,Failed
[H]-708,2026-01-28T16:59:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26384,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,5,https://scstatehouse.gov/amendments.php?KEY=33844,Table Amendment 5 Amendment #5,Nay,Passed
[H]-709,2026-01-28T17:04:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26385,H.4756,South Carolina Student Physical Privacy Act,https://www.scstatehouse.gov/billsearch.php?billnumbers=4756&session=126&headerfooter=0,6,https://scstatehouse.gov/amendments.php?KEY=33851,Table Amendment 6 Amendment #6,Nay,Passed
[H]-711,2026-01-29T10:47:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=26387,S.336,Judicial Elections,https://www.scstatehouse.gov/billsearch.php?billnumbers=336&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
