code,district,name,party,bioUrl,photoUrl
1914204316,1,"Representative William R. ""Bill"" Whitmire",R,https://www.scstatehouse.gov/member.php?code=1914204316,https://www.scstatehouse.gov/images/members/1914204316.jpg
0502272667,2,Representative Adam L. Duncan,R,https://www.scstatehouse.gov/member.php?code=0502272667,https://www.scstatehouse.gov/images/members/0502272667.jpg
0169318162,3,Representative Phillip Bowers,R,https://www.scstatehouse.gov/member.php?code=0169318162,https://www.scstatehouse.gov/images/members/0169318162.jpg
0848863535,4,Representative David R. Hiott,R,https://www.scstatehouse.gov/member.php?code=0848863535,https://www.scstatehouse.gov/images/members/0848863535.jpg
0388636317,5,Representative Neal A. Collins,R,https://www.scstatehouse.gov/member.php?code=0388636317,https://www.scstatehouse.gov/images/members/0388636317.jpg
0434090857,6,Representative April Cromer,R,https://www.scstatehouse.gov/member.php?code=0434090857,https://www.scstatehouse.gov/images/members/0434090857.jpg
0675852192,7,Representative Thomas Lee Gilreath,R,https://www.scstatehouse.gov/member.php?code=0675852192,https://www.scstatehouse.gov/images/members/0675852192.jpg
0347727231,8,"Representative Donald G. ""Don"" Chapman",R,https://www.scstatehouse.gov/member.php?code=0347727231,https://www.scstatehouse.gov/images/members/0347727231.jpg
1624999805,9,Representative Richard Blake Sanders,R,https://www.scstatehouse.gov/member.php?code=1624999805,https://www.scstatehouse.gov/images/members/1624999805.jpg
0129545439,10,Representative Thomas Beach,R,https://www.scstatehouse.gov/member.php?code=0129545439,https://www.scstatehouse.gov/images/members/0129545439.jpg
0632954470,11,Representative Craig A. Gagnon,R,https://www.scstatehouse.gov/member.php?code=0632954470,https://www.scstatehouse.gov/images/members/0632954470.jpg
0667045375,12,Representative Daniel Gibson,R,https://www.scstatehouse.gov/member.php?code=0667045375,https://www.scstatehouse.gov/images/members/0667045375.jpg
1217045309,13,Representative John R. McCravy III,R,https://www.scstatehouse.gov/member.php?code=1217045309,https://www.scstatehouse.gov/images/members/1217045309.jpg
1510227092,14,Representative Luke S. Rankin,R,https://www.scstatehouse.gov/member.php?code=1510227092,https://www.scstatehouse.gov/images/members/1510227092.jpg
1356818019,15,Representative JA Moore,D,https://www.scstatehouse.gov/member.php?code=1356818019,https://www.scstatehouse.gov/images/members/1356818019.jpg
1942613404,16,Representative Mark N. Willis,R,https://www.scstatehouse.gov/member.php?code=1942613404,https://www.scstatehouse.gov/images/members/1942613404.jpg
0257954515,17,"Representative James Mikell ""Mike"" Burns",R,https://www.scstatehouse.gov/member.php?code=0257954515,https://www.scstatehouse.gov/images/members/0257954515.jpg
1374999835,18,"Representative T. Alan Morgan, Jr.",R,https://www.scstatehouse.gov/member.php?code=1374999835,https://www.scstatehouse.gov/images/members/1374999835.jpg
0733806731,19,Representative Patrick B. Haddon,R,https://www.scstatehouse.gov/member.php?code=0733806731,https://www.scstatehouse.gov/images/members/0733806731.jpg
0614772654,20,Representative Stephen Frank,R,https://www.scstatehouse.gov/member.php?code=0614772654,https://www.scstatehouse.gov/images/members/0614772654.jpg
1344175976,21,Representative Dianne Mitchell,R,https://www.scstatehouse.gov/member.php?code=1344175976,https://www.scstatehouse.gov/images/members/1344175976.jpg
1914630453,22,Representative Paul B. Wickensimer,R,https://www.scstatehouse.gov/member.php?code=1914630453,https://www.scstatehouse.gov/images/members/1914630453.jpg
0479545397,23,Representative Chandra E. Dillard,D,https://www.scstatehouse.gov/member.php?code=0479545397,https://www.scstatehouse.gov/images/members/0479545397.jpg
0103409079,24,Representative Bruce W. Bannister,R,https://www.scstatehouse.gov/member.php?code=0103409079,https://www.scstatehouse.gov/images/members/0103409079.jpg
0953408977,25,Representative Wendell K. Jones,D,https://www.scstatehouse.gov/member.php?code=0953408977,https://www.scstatehouse.gov/images/members/0953408977.jpg
1157954407,26,Representative David Martin,R,https://www.scstatehouse.gov/member.php?code=1157954407,https://www.scstatehouse.gov/images/members/1157954407.jpg
1865908867,27,Representative David Vaughan,R,https://www.scstatehouse.gov/member.php?code=1865908867,https://www.scstatehouse.gov/images/members/1865908867.jpg
0893181711,28,"Representative William C. ""Chris"" Huff",R,https://www.scstatehouse.gov/member.php?code=0893181711,https://www.scstatehouse.gov/images/members/0893181711.jpg
1379545289,29,Representative Dennis C. Moss,R,https://www.scstatehouse.gov/member.php?code=1379545289,https://www.scstatehouse.gov/images/members/1379545289.jpg
1067613508,30,Representative M. Brian Lawson,R,https://www.scstatehouse.gov/member.php?code=1067613508,https://www.scstatehouse.gov/images/members/1067613508.jpg
0824999901,31,"Representative Rosalyn D. Henderson-Myers, Ph.D.",D,https://www.scstatehouse.gov/member.php?code=0824999901,https://www.scstatehouse.gov/images/members/0824999901.jpg
1351704384,32,Representative W. Scott Montgomery IV,R,https://www.scstatehouse.gov/member.php?code=1351704384,https://www.scstatehouse.gov/images/members/1351704384.jpg
